Part,Quantity needed,Quantity in set,Price(USD),Shipping(USD),Note,Link
Raspberry Pi zero 2W,1,1,30.65,Free,,https://www.aliexpress.com/item/1005005876463565.html?spm=a2g0o.productlist.main.28.dd93M2cRM2cRkk&algo_pvid=0be3d98c-6e9c-4fd2-ac85-0cc95946d9b3&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Touch screen,1,1,31.41,8.95,,https://www.aliexpress.com/item/1005007372530555.html?spm=a2g0o.productlist.main.15.1b4f6ebfXAxVwS&algo_pvid=778947cf-06f8-42e1-ab42-ae633efbac38&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
270 Ohm resistors,2,20,0.87,1.20,,https://www.aliexpress.com/item/1005006546596146.html?spm=a2g0o.productlist.main.12.51d0e0eWe0eW7e&aem_p4p_detail=202505280633577728206491438800001674218&algo_pvid=563641ed-a55b-4103-a241-aa406c07ccdc&pdp_ext_f=%7B%22order%22%3A%22220%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202505280633577728206491438800001674218_3
150 Ohm resistors,2,20,0.87,1.20,,http://aliexpress.com/item/1005006546596146.html?spm=a2g0o.productlist.main.12.51d0e0eWe0eW7e&aem_p4p_detail=202505280633577728206491438800001674218&algo_pvid=563641ed-a55b-4103-a241-aa406c07ccdc&pdp_ext_f=%7B%22order%22%3A%22220%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202505280633577728206491438800001674218_3
10 uf electrolitic Capacitors,2,20,1.23,Free,,https://www.aliexpress.com/item/32895970824.html?spm=a2g0o.productlist.main.5.7f181376hRWTwp&algo_pvid=f10a86c9-43e2-4b39-b7d6-3c051a2da662&pdp_ext_f=%7B%22order%22%3A%22698%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
0.01 uf Polyester-Film Capacitors(103J),2,30,2.50,Free,,https://www.aliexpress.com/item/1005007139328345.html?spm=a2g0o.productlist.main.2.cdd17d2bVzZAMp&algo_pvid=cc98d625-be03-45d7-bbcc-97f77622ac93&pdp_ext_f=%7B%22order%22%3A%22633%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Speaker,1,2,3.95,Free,,https://www.aliexpress.com/item/1005007111833167.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.10.539837fdtPWuFH&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.439370.0&scm_id=1007.40196.439370.0&scm-url=1007.40196.439370.0&pvid=4dfe8dde-b445-4008-ba0b-1159de657025&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.439370.0,pvid:4dfe8dde-b445-4008-ba0b-1159de657025,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%22289%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A
PCB,1,1,NaN,NaN,,
Switches,10,10,1.03,1.08,,https://www.aliexpress.com/item/32866761020.html
Wires(28AWG),1,1,3.00,Free,,https://www.aliexpress.com/item/1005007009685328.html?spm=a2g0o.productlist.main.8.634668fbpAXrhc&algo_pvid=342edcb8-3134-494d-9a3c-5d4d930c2bdb&pdp_ext_f=%7B%22order%22%3A%223728%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Battery,1,1,13.82,Free,,https://www.aliexpress.com/item/1005008087303778.html?spm=a2g0o.productlist.main.9.575382a8DGjkdq&algo_pvid=d637d23c-15aa-495d-ab4d-8912fa393757&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
PWR Switch,1,5,1.63,Free,,https://www.aliexpress.com/item/32873386670.html?spm=a2g0o.productlist.main.5.2316331bN0M5D9&algo_pvid=b8820c4a-1f17-47ad-b5a4-cc75b5f47f7d&pdp_ext_f=%7B%22order%22%3A%223707%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Voltage booster(5V),1,1,0.94,0.48,,https://www.aliexpress.com/item/1005006342017830.html?spm=a2g0o.productlist.main.8.32124802Irvy0q&aem_p4p_detail=2025052709294011340235084993920000692888&algo_pvid=8fda0b9d-ede4-480d-a92e-be31044526a9&pdp_ext_f=%7B%22order%22%3A%2299%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025052709294011340235084993920000692888_2#nav-specification
USB-C inupt with cables,1,5,2.33,Free,,https://www.aliexpress.com/item/1005007469640237.html?spm=a2g0o.productlist.main.1.2786577a5POLVK&algo_pvid=42de749d-264f-41c6-88d9-8b5cbc3e668d&pdp_ext_f=%7B%22order%22%3A%223195%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Battery charge indicator(1S),1,1,0.94,0.65,,https://www.aliexpress.com/item/1005006713968836.html?spm=a2g0o.productlist.main.13.1c546373Ro11DZ&algo_pvid=052297d2-3386-4d60-a0eb-261dbd806c3b&pdp_ext_f=%7B%22order%22%3A%22414%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A


Total,,,108,74,,Price with shipping,
